Company Name,City/Location,Industry Segment,Website,Revenue Band,Promoter/Decision-Maker,Growth Signals
Metalic Technoforge Ltd,Rajkot,Specialty Manufacturing (Forging),metalictechnoforge.com,₹100–200 Cr,Promoter: DRHP,IPO filed Mar 2026
Biopol Chemicals Ltd,Gujarat,Specialty Manufacturing (Chemicals),biopolchemicals.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
Apsis Aerocom Ltd,Pune,Specialty Manufacturing (Aerospace),apsisaerocom.com,₹80–150 Cr,Promoter: DRHP,IPO filed Mar 2026
Q Line Biotech Ltd,Hyderabad,Specialty Manufacturing (Biotech/Pharma),qlinebiotech.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
Dhara Rail Projects Ltd,Gujarat,Specialty Manufacturing (Rail Infra),dhararail.com,₹100–200 Cr,Promoter: DRHP,IPO filed Dec 2025
Avana Electrosystems Ltd,Pune,Specialty Manufacturing (Electronics),avanaelectrosystems.com,₹80–150 Cr,Promoter: DRHP,IPO filed Dec 2025
Clay Craft India Ltd,Jaipur,Specialty Manufacturing (Ceramics),claycraftindia.com,₹80–150 Cr,Promoter: DRHP,IPO filed Sep 2025
Neochem Bio Solutions Ltd,Hyderabad,Specialty Manufacturing (Chemicals/Biotech),neochembio.com,₹80–150 Cr,Promoter: DRHP,IPO filed Nov 2025
Striders Impex Ltd,Mumbai,Specialty Manufacturing (Advanced Materials),stridersimpex.com,₹50–100 Cr,Promoter: DRHP,IPO filed Feb 2026
Shreyas Fabtech Ltd,Ahmedabad,Specialty Manufacturing (Fabrication/Engineering),shreyasfabtech.com,₹60–90 Cr,Promoter: DRHP,IPO filed Sep 2025
Teja Engineering Industries Ltd,Hyderabad,Specialty Manufacturing (Industrial Equipment),tejaengg.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
Manilam Industries India Ltd,Mumbai,Specialty Manufacturing (Industrial Products),manilamindustries.com,₹100–200 Cr,Promoter: DRHP,IPO filed Feb 2026
Parmeshwar Recycling Ltd,Surat,Specialty Manufacturing (Recycling/Materials),parmeshwarrecycling.com,₹40–80 Cr,Promoter: DRHP,IPO filed Sep 2025
Grover Jewells Ltd,Delhi NCR,Specialty Manufacturing (Jewellery),groverjewells.com,₹80–150 Cr,Promoter: DRHP,IPO filed Jan 2026
Himalayan Solar Ltd,Himachal Pradesh,Specialty Manufacturing (Renewable Energy),himalayansolar.com,₹40–80 Cr,Promoter: DRHP,IPO filed Sep 2025
Vivid Electromech Ltd,Bengaluru,Specialty Manufacturing (Electrical Equipment),vividelectromech.com,₹80–150 Cr,Promoter: DRHP,IPO filed Mar 2026
Shanti Inorganics Ltd,Gujarat,Specialty Manufacturing (Chemicals),shantiinorganics.com,₹70–120 Cr,Promoter: DRHP,IPO filed Sep 2025
