Company name,City / Location,Industry Segment,Website,Revenue Band,DSIR Recognition Evidence,Promoter / Decision-Maker,Growth Signals
Fusion Klassroom Edutech Limited,"Mumbai office at Matruprabha, Ground Floor, Plot No -78, CTS No-2731, Daulat Nagar Road 7, Borivali East, Mumbai – 400066 for 22 months, ending on May 02, 2027. The lease deed has been executed on an arm’s length basis and the terms and conditions of the lease, including the lease rental are fair , reasonable and consistent with prevailing market practices.",See DRHP ‘Industry / Business overview’ section.,www.klassroom.in; www.maashitla.com; www.narnolia.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Jinal Karen Vora PROMOTERS OF; Mr. Suniel Shetty; Ms. Jinal Karen Vora,ISO certification mentioned
FX Multitech Limited,"WITH WIDE CIRCULATION, AT LEAST TWO WORKING DAYS PRIOR TO THE BID/OFFER OPENING DATE AND SHALL BE MADE AVAILABLE TO SME PLATFORM OF BSE (“BSE SME ”), FOR THE PURPOSE OF UPLOADING ON THEIR RESPECTIVE WEBSITE IN ACCORDANCE WITH THE SEBI ICDR REGULATIONS, AS AMENDED.",See DRHP ‘Industry / Business overview’ section.,https://www.fxmultitech.com; www.in.mpms.mufg.com; www.oneviewadvisors.com,"10,176.86 Lakhs",No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP PDF could not be downloaded.,subsidiary / group structure
Shree TNB Polymers Limited,"Athalroad, Silvassa, Dadra & Nagar Haveli, India- 396230.",See DRHP ‘Industry / Business overview’ section.,www.shreetnbpolymers.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP PDF could not be downloaded.,subsidiary / group structure
Bipin Offset Limited,"into Public Limited Company and name of company was changed from “Bipin Offset Private Limited” to “Bipin Offset Limited” vide fresh certificate of incorporation dated July 01, 2025. For further details, please see chapter titled """,See DRHP ‘Industry / Business overview’ section.,https://bipinoffset.com/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mrs. Radhika Parth Soni; Mr. Rakesh Bhogilal Patel; Mrs. Zinnal Rakeshkumar Patel; Mr. Rikin Bipinchandra Patel. For; Mrs. Zinnal Rakeshkumar Patel. For,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Maharaja & Speedex India Limited,"53/27 GT Karnal Road Village Alipur, Near Alipur Police Station, New Delhi, Delhi-110036. “we”, “us” and “our” Unless the context otherwise indicates or implies refers to our Company. “you”, “your” or “yours” Prospective investors in the Offer.",See DRHP ‘Industry / Business overview’ section.,https://speedexind.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,subsidiary / group structure
Sollfege Smart Electronics Limited,See DRHP ‘General Information’ — address not matched by pattern.,See DRHP ‘Industry / Business overview’ section.,www.finshoregroup.com; www.sollfege.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Umesh Kumar Agarwal,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Home Zone Rubber Solutions Limited,"D1 Grd Floor, Plot No 100 Sarjan Plaza Dr Annie Besant Road, Worli, Mumbai, Maharashtra - 400018 We/ us/ our Unless the context otherwise indicates or implies, refers to our Company",See DRHP ‘Industry / Business overview’ section.,www.homezone.co.in; www.horizonmanagement.in; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP PDF could not be downloaded.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
JEE Pumps Limited,"details, see “Our Business – Our Properties” on page 130 of the Draft Red Herring Prospectus.","(a) Business Overview – Products We are engaged in manufacturing and assembly of metallic and non - metallic customized pumps like centrifugal pump, chemical process pump, self -priming pump and mud pump comprising of electric motors or engines, which are designed, assembled and tested to operate for longer period of time. Th ese pumps are sold under the brand name “JEE Pumps”.",www.ib.marwadichandaranagroup.com; www.jeepumps.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Manisha Textiles Limited,"Survey No 6, House No 8 P, Gova MIDC, Vill Sarav ali, Bhiwandi -421302 Maharashtra, India. Registrar of Companies / RoC Registrar of Companies, Mumbai II, Maharashtra",See DRHP ‘Industry / Business overview’ section.,www.kfintech.com; www.manishatextiles.in; www.rarever.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Kapila Shardul Tikke Company Secretary; Ms. Kapila Shardul Tikke,ISO certification mentioned; subsidiary / group structure
MILAN GINNING PRESSING LIMITED,& FACTORY CONTACT PERSON EMAIL AND TELEPHONE,See DRHP ‘Industry / Business overview’ section.,www.milangroupindia.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. S. Ramakrishna Iyengar Telephone,subsidiary / group structure
Dudani Retail Limited,and Corporate Structure” beginning on page no 130 of the Draft Prospectus.,See DRHP ‘Industry / Business overview’ section.,www.divenaworld.com; www.finshoregroup.com; www.maashitla.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Ramgopal Sharma Company Secretary; Mr. Akshay Dudani; Mrs. Charu Dudani DETAILS OF OFFER TO; Mr. Mukul Agarwal Email; Akshay Dudani; Charu Dudani,ISO certification mentioned
Acme Universal Safezone 9 Limited,"PERSON E-MAIL AND TELEPHONE WEBSITE Near Twelve Shops Girwai Naka, A. B. Road, Gwalior, Madhya Pradesh, India, 474001 1209 Remi Commercio, Opp Yash Raj Studios Off Link Road Andheri West, Mumbai, Maharashtra, India, 400053 Priya Darshil Mody Company Secretary and Compliance Officer E-Mail Id: compliance@acmeuniversal9.com Telephone: +91- 91099 71732",See DRHP ‘Industry / Business overview’ section.,www.acmeuniversal9.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,subsidiary / group structure
Ratnadhar Infra Limited,(g) Business Strengths and Strategies,the tradin g of ready-mix concrete and other construction materials,www.kreocapital.com; www.ratnadharinfra.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,subsidiary / group structure
GOVINDAH NUTRITION LIMITED,"For further details on the changes in the name and registered office of our Company, see ""History and Certain Corporate Matters"" on page 202 of this Draft Red Herring Prospectus.",See DRHP ‘Industry / Business overview’ section.,www.govindahnutrition.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Could not download DRHP PDF/ZIP for promoter extraction.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Neptune Holidays Limited,Download failed (timeout or HTTP error).,,,,,DRHP: NOVELTY MERCHANTS PRIVATE LIMITED; NEPTUNE AVIATIONS PRIVATE LIMITED; NEPTUNE,
Om Galaxy Limited,"5, Industrial Estate, Sativali Road, Village Valiv, Vasai, Thane, Maharashtra - 401208, India “we”, “us” and “our” Unless the context otherwise indicates or implies, refers to our Company and our Subsidiaries",See DRHP ‘Industry / Business overview’ section.,www.omgalaxymould.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,subsidiary / group structure
G V ELECTRICALS LIMITED,"Hammersmith Industrial Premises Co-op Society Ltd, Narayan Pathare Marg, Off. Sitladevi Temple Road, Mahim, Mumbai, Maharashtra, India, 400016 “we”, “us” or “our” Unless the context otherwise indicates or implies refers to our Company. “you”, “your” or “yours” Prospective investors/bidders in this Offer.",See DRHP ‘Industry / Business overview’ section.,www.gvelectricals.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,ISO certification mentioned
ADON AGRO COMMODITIES LIMITED,"Office No. I -3029, 3rd floor, Akshar Business Park, Plot No.3, Sector 25, Janta Market Road, Vashi, Navi Mumbai – 400703, Maharashtra Mrs. Snehal Gajanan Mhatre, Company Secretary & Compliance Officer Tel: 022 - 6501 1773 E-mail: cs@adonagrocommodities.com www.adonagrocommodities.com",See DRHP ‘Industry / Business overview’ section.,www.adonagrocommodities.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mrs. Snehal Gajanan Mhatre; Mr. Vishal Sancheti E-mail; Mr. Murali Krishna E-mail; Mr. Narayanswamy Venkitkrishnan MOA; Mr. Narayanswamy Venkitkrishnan; Mrs. Jigisha Narayanswamy; Mr. Shubham Ratan Sharma. For,subsidiary / group structure
Shellz India Limited,"registered office of our Company, see “History and Certain Corporate Matters” on page 217.",See DRHP ‘Industry / Business overview’ section.,www.shellz.in,200.00 Lakhs,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: KAPIL GARG AND SHALINI GARG,subsidiary / group structure
Core4 Engineers Limited,"CORPORATE OFFICE CONTACT PERSON EMAIL AND TELEPHONE WEBSITE Mathrushree No. 12, 1 st Floor, Near Ramana Maharshi Gyana Kendra, Next to New court, K Block, Kuvempunagar, Mysore – 570 023, Karnataka, India Theja Raju Company Secretary and Compliance Officer Email: investor@core4grp.com",See DRHP ‘Industry / Business overview’ section.,https://core4engineers.com/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: AGRAHARA CHAMARAJE GOWDA ABHINANDAN; HOSAHALLI; HOSAHALLI APPAGIGOWDA SAVITHA,subsidiary / group structure
Merritronix Limited,"While we have conducted searches of our records at our Company’s offices, the portal of Ministry of Corporate Affairs and the records maintained by the jurisdictional RoC, we have not been able to trace the certain corporate records, form filings and challans. In this regard, we have also relied on the search report dated March 23, 2026 prepared by LA & Associates, practi",See DRHP ‘Industry / Business overview’ section.,https://www.merritronix.com/; www.bigshareonline.com; www.gyrcapitaladvisors.com,"5,317.38 lakhs",No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Mandava Swathi; Ms. Mandava Swathi Company Secretary; Mr. Mohit Baid SEBI Registration Number; Mr. Rajesh Kumawat. SEBI Registration Number; Mr. Dovari Amarnath; involved in a venture which is in the similar line of business/unit as that of our,capacity expansion; capex / capital expenditure; ISO certification mentioned; backward integration
Advantal Technologies Limited,"Unit No. 527 & 528, 5th Floor, Vipul Trade Centre, Sector 48, Sohna Road, Gurgaon, Haryana, India-122018. 17A Electronic Complex, Pardeshipura, Indore - 452010, Madhya Pradesh, India Prajakta Ashish Lapalikar, Company Secretary & Compliance Officer E-mail: cs@advantal.net Tel No: +0124-4381845 Website: www.advantaltechnologies.com",See DRHP ‘Industry / Business overview’ section.,https://www.hemsecurities.com/Offerdocumen; www.advantaltechnologies.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Dove Soft Limited,"³ZH´³XV´DQG³RXU´ Unless the context otherwise indicates or implies, refers to our Company.",See DRHP ‘Industry / Business overview’ section.,www.dovesoft.io,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Poojaa Precision Engg. Limited,"Gat No. 253/1A, Village-Kharabwadi, Chakan, Pune, Maharashtra, India, 410501 Office No. T3 -401 & T -2 407, Kohinoor World Tower, Opp. Empire Estate, Chinchwad, Chinchwad East, Pune, Pune City, Maharashtra, India, 411019 Bhavana Phoolchand Tak, Company Secretary & Compliance Officer Email: bhavanat@poojaaprecisionengg.in Telephone: +91- 86001 08448 www.poojacastings.in",See DRHP ‘Industry / Business overview’ section.,https://www.hemsecurities.com/Offerdocume; www.poojacastings.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,ISO certification mentioned
Gulf Lloyds (India) Limited,"into fresh lease or leave and license agreement. Such a situation could result in lo ss of business, time overruns and may adversely affect our business operations and profitability.",See DRHP ‘Industry / Business overview’ section.,www.gulflloydsgroup.com; www.ifinservices.in; www.kfintech.Com,"1,664.38 lakhs",No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Jaykumar Bhavsar; Anitaben Bhavsar; Bhagirath Bhavsar; Shivaniben,ISO certification mentioned
Avtar Career Creators Limited,"relation to use of the pr emises could have a material adverse effect on our business and results of operations Our Registered Office, located at No. 10, Raja Nagar, Neelangarai, Chennai – 600041, has been taken on lease from our Promoter and Managing Director, Dr. Saundarya Rajesh, since inception of our Company. The current lease arrangement is for a period of 11 months commen",See DRHP ‘Industry / Business overview’ section.,https://in.mpms.mufg.com/; www.avtarcc.com; www.mefcomcap.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Dr. Saundarya Rajesh; Mr. Akshey Rajesh; Mr. Umasanker Kandaswamy DETAILS OF THE ISSUE; Mr. Umasanker Kandaswamy THE ISSUE INITIAL PUBLIC,hiring / recruitment; subsidiary / group structure
Fine Refiners Limited,LOCATED). AT LEAST TWO WORKING DAYS PRIOR TO THE OFFER OPENING DATE AND SHALL BE MADE AVAILABLE TO THE BSE LIMITED (“BSE”) FOR THE PURPOSE OF UPLOADING ON THEIR,See DRHP ‘Industry / Business overview’ section.,https://in.mpms.mufg.com/; www.finerefiners.com; www.fintellectualadvisors.com,"6,020.54 lakhs",No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP PDF could not be downloaded.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Dhaval Packaging Limited,Download failed (timeout or HTTP error).,,,,,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,
Devson Catalyst Limited,"2025. Consequently, the name of Company changed from “Devson Catalyst Private Limited” to “Devson Catalyst Limited”. The Corporate Identification Number of the Company is U31300GJ2004PLC044722.",See DRHP ‘Industry / Business overview’ section.,www.devsongroup.com; www.in.mpms.mufg.com; www.jjipoadvisors.com,"3,253.15 lakhs",No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP PDF could not be downloaded.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.
Zebion Infotech Limited,"Sr. No. 383/8 FL 101 & 102 Atharv, Jaytu New Timber Merchant Society, Ghorpade Peth, Pune, Maharashtra, India, 411042 Aakash Chaturvedi Company Secretary & Compliance Officer Email: cs@zebion.in Telephone: +91 9623441166 www.zebion.in",See DRHP ‘Industry / Business overview’ section.,www.zebion.in,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted — verify in IPO prospectus or LinkedIn.,subsidiary / group structure
