row_index,company_name,drhp_or_draft_date,drhp_or_draft_document_url
0,Fusion Klassroom Edutech Limited,08/05/2026,https://www.bsesme.com/download/340346/SME_IPO%20InPrinciple/Addendum_DRHP_Klassroom_20260508202350.pdf
1,FX Multitech Limited,08/05/2026,https://www.bsesme.com/download/305086/SME_IPO%20InPrinciple/ADDENDUMDRHP_20260508112101.pdf
2,Shree TNB Polymers Limited,05/05/2026,https://www.bsesme.com/download/358836/SME_IPO%20InPrinciple/TNB_DRHP_Final_20260505210759.pdf
3,Bipin Offset Limited,05/05/2026,https://www.bsesme.com/download/339949/SME_IPO%20InPrinciple/26.BIPINDRHP_20260505203121.pdf
4,Maharaja & Speedex India Limited,24/04/2026,https://www.bsesme.com/download/354372/SME_IPO%20InPrinciple/MSIL_DRHP_20260424210952.pdf
5,Sollfege Smart Electronics Limited,23/04/2026,https://www.bsesme.com/download/304019/SME_IPO%20InPrinciple/DP_Sollfege_BSE_23042026_Abridged_20260430174946.zip
6,Home Zone Rubber Solutions Limited,21/04/2026,https://www.bsesme.com/download/367293/SME_IPO%20InPrinciple/DRHP_Homezone_Filing_Final_20260421095022.pdf
7,JEE Pumps Limited,19/04/2026,https://www.bsesme.com/download/363782/SME_IPO%20InPrinciple/DRHPandDAP_20260420130833.zip
8,Manisha Textiles Limited,31/03/2026,https://www.bsesme.com/download/384739/SME_IPO%20InPrinciple/DPMTL_20260331234805.pdf
9,MILAN GINNING PRESSING LIMITED,31/03/2026,https://www.bsesme.com/download/309971/SME_IPO%20InPrinciple/Milan_DRHPFinal_20260331233858.pdf
10,Dudani Retail Limited,31/03/2026,https://www.bsesme.com/download/376098/SME_IPO%20InPrinciple/DP_Dudani_BSE_31032026_with_Abridged_20260504130053.zip
11,Acme Universal Safezone 9 Limited,31/03/2026,https://www.bsesme.com/download/371790/SME_IPO%20InPrinciple/DRHP_ACME_31032026_20260430124306.zip
12,Ratnadhar Infra Limited,31/03/2026,https://www.bsesme.com/download/333774/SME_IPO%20InPrinciple/DRHP_Abridged_Prospectus_20260430120827.zip
13,GOVINDAH NUTRITION LIMITED,31/03/2026,https://www.bsesme.com/download/394831/SME_IPO%20InPrinciple/DRHP_Govindah_20260331192329.pdf
14,Neptune Holidays Limited,31/03/2026,https://www.bsesme.com/download/377244/SME_IPO%20InPrinciple/NHLDRHP31032026_20260331175507.pdf
15,Om Galaxy Limited,30/03/2026,https://www.bsesme.com/download/349703/SME_IPO%20InPrinciple/DRHP_OMGALAXYLIMITED_20260330220851.pdf
16,G V ELECTRICALS LIMITED,30/03/2026,https://www.bsesme.com/download/321861/SME_IPO%20InPrinciple/DRHP_GVEL__20260330192337.pdf
17,ADON AGRO COMMODITIES LIMITED,30/03/2026,https://www.bsesme.com/download/327529/SME_IPO%20InPrinciple/DraftOfferDocument_20260420212924.zip
18,Shellz India Limited,30/03/2026,https://www.bsesme.com/download/312428/SME_IPO%20InPrinciple/DraftRedHerringProspectusShellz_20260330033128.pdf
19,Core4 Engineers Limited,29/03/2026,https://www.bsesme.com/download/364707/SME_IPO%20InPrinciple/CORE4DRHP_20260329204004.pdf
20,Merritronix Limited,26/03/2026,https://www.bsesme.com/download/343207/SME_IPO%20InPrinciple/Addendum_ML_30042026_20260508125553.pdf
21,Advantal Technologies Limited,25/03/2026,https://www.bsesme.com/download/308837/SME_IPO%20InPrinciple/DRHP_ADVANTAL_20260325203318.pdf
22,Dove Soft Limited,24/03/2026,https://www.bsesme.com/download/391808/SME_IPO%20InPrinciple/DRHP_DSL_24032026_20260324163752.pdf
23,Poojaa Precision Engg. Limited,23/03/2026,https://www.bsesme.com/download/380453/SME_IPO%20InPrinciple/2_DRHP_Poojaa_Precision_Engg._Limited_20260323174010.pdf
24,Gulf Lloyds (India) Limited,19/03/2026,https://www.bsesme.com/download/346052/SME_IPO%20InPrinciple/Addendum_V5_DRHP_20260511121100.pdf
25,Avtar Career Creators Limited,18/03/2026,https://www.bsesme.com/download/309256/SME_IPO%20InPrinciple/AvtarCareerCreatorsLimitedDraftProspectus_20260318153658.pdf
26,Fine Refiners Limited,17/03/2026,https://www.bsesme.com/download/390853/SME_IPO%20InPrinciple/Addedum_drhp_20260508114726.pdf
27,Dhaval Packaging Limited,16/03/2026,https://www.bsesme.com/download/312386/SME_IPO%20InPrinciple/DRHP_Addendum_DPL_20260423153105.pdf
28,Devson Catalyst Limited,11/03/2026,https://www.bsesme.com/download/325815/SME_IPO%20InPrinciple/Devson_DRHP_With_Addendum_20260429154407.pdf
29,Zebion Infotech Limited,07/03/2026,https://www.bsesme.com/download/322850/SME_IPO%20InPrinciple/ZebionInfotechLimited_20260307202437.pdf
30,Horizon Reclaim  (India) Limited,06/03/2026,https://www.bsesme.com/download/362363/SME_IPO%20InPrinciple/Addendum_DRHP_HorizonReclaim_20260427123126.pdf
31,Susan Electricals India Limited,28/02/2026,https://www.bsesme.com/download/338840/SME_IPO%20InPrinciple/finalsusan_20260416153518.pdf
32,Quanto Agroworld Limited,28/02/2026,https://www.bsesme.com/download/360290/SME_IPO%20InPrinciple/26.DRAFT_PROSPECTUS_QUANTO_27.02.26_Final_20260228013917.pdf
33,Navkkar Gold & Diamond Limited,28/02/2026,https://www.bsesme.com/download/380367/SME_IPO%20InPrinciple/DraftProspectusNavkkar_20260402115436.pdf
34,Anand Seamless Limited,27/02/2026,https://www.bsesme.com/download/308069/SME_IPO%20InPrinciple/DraftProspectus_20260408112349.pdf
