Company Name,City/Location,Industry Segment,Website,Revenue Band,DSIR Recognition Evidence,Promoter/Decision-Maker,Growth Signals,Source
3B FILMS LIMITED,"CORPORATE OFFICE CONTACT PERSON TELEPHONE AND EMAIL WEBSITE Registered Office: SF 220, Pancham Icon, Besides D-Mart, Vasna Road, Vadodara, Gujarat, India, 390007 Corporate Office: Block No 1241, 1242, 1243, 1244, Padra Jambusar Highway, Masar, Padra, Vadodara, Gujarat, India, 391421 Ms. Janki Raj Company Secretary and Compliance Officer Tel: +91-6359 632600 Email: cs@3bfilms.com",See DRHP ‘Industry / Business overview’ section.,www.3bfilms.com; www.maashitla.com; www.nirbhaycapital.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Mr. Ashokbhai Dhanjibhai Babariya,subsidiary / group structure,BSE DRHP
3C IT Solutions and Telecoms (India) Limited,Office Contact Person Email and Telephone Website,See DRHP ‘Industry / Business overview’ section.,http://3citsolutions.com/; https://www.kreocapital.com/; https://www.skylinerta.com/,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Laxmi Tiwari Company Secretary; Ms. Laxmi Tiwari; Ms. Laxmi Tiwari Corporate Identification Number; Mr. Ranjit Kulladhaja Mayengbam MOA; Dr. Ambedkar Chowk; Mr. Ranjit Kulladhaja Mayengbam; Mrs. Gangarani Devi Mayengbam. Promoter Group Such,ISO certification mentioned,BSE DRHP
AA Plus Tradelink Limited,"Near Jain Temple, Jambli Gali, Borivali (West), Mumbai - 400092, Maharashtra, India. Restated Summary Statements Audited restated summary statements of assets and liabilities as at March 31, 2020, 2019 and 2018 and audited restated summary statements of profits and losses and cash flows for AA Plus Tradelink Limited – Draft Prospectus",See DRHP ‘Industry / Business overview’ section.,www.aaplustradelink.com; www.inventuremerchantbanker.com; www.purvashare.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,ISO certification mentioned,BSE DRHP
Aarav Defence Systems Ltd,Pune,Specialty Manufacturing (Defence/Aerospace),aaravdefence.com,₹120–200 Cr,"No match found in DSIR Directory of Recognized In-House R&D Units, 31.07.2024.",Promoter: DRHP,IPO filed Feb 2026,data.csv
Aashka Hospitals Limited,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,Not assessed (no machine-readable text).,BSE DRHP
Abram Food Limited,"Central Processing Centre. For details of incorporation, change of registered office of our Company, please refer to the section title “History and Corporate Structure” on page no. 151 of this Draft Prospectus.","Our Company is engaged in the business of manufacturing, marketing and selling of Chana, Chana Dal, Besan, Edible Oil, Spices and fl",www.abramfood.in; www.corporatemakers.in; www.kfintech.com; www.kherliwala.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Mr. Sanjiva Gaur OUR; Mr. Pawan Mahur; Mr. Rohit Pareek SEBI Registration Number; Mr. M. Murali Krishna SEBI Registration Number; Mr. Sanjay Jain,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
Abril Paper Tech Limited,"and enter into fresh lease or leave and license agreement. Such a situation could resu lt in loss of business, time overruns and may adversely affect our operations and profitability.",See DRHP ‘Industry / Business overview’ section.,www.abrilpapertech.com; www.ifinservices.in; www.kfintech.com,25 crores,No DSIR / R&D recognition wording detected in sampled DRHP pages.,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
ACCELERATEBS INDIA LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,,,,Not assessed (no machine-readable text).,DRHP: Ms. Poonam Dinesh Yadav Company Secretary; Mr. Kunal Arvind Shah; Mr. Keyur Dipakkumar Shah; Mr. Parth Shah; Ms. Kritika Rupda E-ma; Ms. Kritika Rupda E-mail; Ms. Poonam Dinesh Yadav Corporate Identification Number; Mr. Kunal Arvind Shah MOA; Mr. Kunal Arvind Shah Promoter Group Such; Mr. Keyur Dipakkumar Shah KEY PERFORMANCE INDICATORS,Not assessed (no machine-readable text).,BSE DRHP
Access Point India Limited,"Registrar of Companies/ Registrar of Companies, Central Processing Centre vide bearing",See DRHP ‘Industry / Business overview’ section.,https://www.myaccessp.net; www.finaaxcapital.com; www.in.mpms.mufg.com,652.40 Lakhs,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Reena Sharma NOTICE TO INVESTORS; Mr. Bherusingh Rajput Managing Director DIN; Mr. Ikshit Shah; Mr. Yash Doshi CIN; Mr. Pravinbhai Chandubhai Chandulal Patel; Mr. Pankajkumar Chandubhai,hiring / recruitment,BSE DRHP
ACCORD TRANSFORMER & SWITCHGEAR LIMITED,"December 04, 2024. Our Company’s Corporate Identity Number is U31500HR2014PLC052544. For details of change in administration of our Company, please refer to the chapter titled “History and Certain Corporate Matters” on page 122 of th e Draft Red Herring Prospectus.",See DRHP ‘Industry / Business overview’ section.,https://atsgroup.in/; www.gyrcapitaladvisors.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,No DSIR / R&D recognition wording detected in sampled DRHP pages.,DRHP: Ms. Tulsi Sharma; Ms. Tulsi Sharma Company Secretary; Mr. Mohit Baid; Ms. Maitri Thakkar SEBI Registration Number; Mr. Pradeep Kumar Verma; Mrs. Shalini Singh; Mr. Pradeep Kumar Verma Chief Financial Officer; Mr. Ranjan Kumar Samal. Company Secretary; Ms. Tulsi Sharma. Depositories Act The Depositories,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,BSE DRHP
