Company Name,City,Industry Segment,Website,Revenue Band,CIN,ICP_Blended_Weighted_Score,ICP_Weighted_Score,Reject_Phase,Reject_Reason_Codes,Dedupe_Winner_Company,Dedupe_Basis
Aashka Hospitals Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
ACCELERATEBS INDIA LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Adcounty Media India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Adeshwar Meditex Limited,Download failed (timeout or HTTP error).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Adishakti Loha and Ispat Limited.,"Subsequently our Company was converted into a Public Limited Company and a fresh certificate of incorporation consequent upon conversion of the Company to public limited company in the name of the “Adishakti Loha and Ispat Limited” was granted by the Registrar of Companies, Delhi...",unspecified_see_drhp,http://adishaktiloha.com/; www.bigshareonline.com; www.tcagroup.in,Extract from restated financials in DRHP (pattern not matched).,,40.0,40.0,step8,duplicate_dedupe|basis:website_host,STITCHED TEXTILES LIMITED,website_host
ADMACH SYSTEMS LIMITED,"Survey No 122, Village Nandoshi, Off Pune Sinhagad Road, Khadakwasla R",unspecified_see_drhp,https://maashitla.com; www.admach.co.in; www.aftertrade.in,Extract from restated financials in DRHP (pattern not matched).,,45.0,45.0,step8,duplicate_dedupe|basis:website_host,JKV SOLUTIONS LIMITED,website_host
Advait Infratech Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Advance Technoforge Limited,and Certain Corporate Matters” on page 150.,unspecified_see_drhp,www.advancetechforge.co; www.advancetechforge.com/; www.kfintech.com; www.suncapitalservices.co.in,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,Safecure Services Limited,website_host
AEGEUS TECHNOLOGIES LIMITED,"Central Processing Centre has issued a new certificate of incorporation consequent upon conversion dated August 08, 2024, bearing",unspecified_see_drhp,https://tcagroup.in; www.aegeustechnologies.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,STITCHED TEXTILES LIMITED,website_host
AHASolar Technologies Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
AIK Pipes and Polymers Limited,Contact Person Email and Telephone,unspecified_see_drhp,www.aikpipes.com; www.shreni.in; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,,30.0,30.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Ajwa Projects Limited,"details on incorporation and registered office of our Company, see “",unspecified_see_drhp,www.ajwaprojects.com; www.kfintech.com; www.wealthminenetworks.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Seemax Resources Limited,website_host
Alkosign Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
ALPHALOGIC INDUSTRIES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
AMANAYA VENTURES LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
AMBO AGRITEC LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
AMIC FORGING LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Amkay Products Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Amtech Esters Limited,"Restated Financial Statements The financial information of the Company which comprises of the restated statement of assets and liabilities, Profit and Loss and Cash Flows for the financial year ended March 31, 2024, March 31, 2023 and March 31, 2022 and for the period ended June ...",unspecified_see_drhp,https://www.amtechesters.com/; www.maashitla.com; www.sobhagyacapital.com,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
Amwill Health Care Limited,"Chamrajpet, Bangalore – 560 018, Karnataka, India.",Pharma / Biotech,https://www.ibef.org/news/premiumisation-internet-drive-growth-of-beauty-industry-in-india-report; www.amwillhealthcare.com; www.bigshareonline.com; www.unistonecapital.com,Extract from restated financials in DRHP (pattern not matched).,,45.0,45.0,step8,duplicate_dedupe|basis:website_host,STANBIK AGRO LIMITED,website_host
Anand Rayons Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Anand Seamless Limited,"Ronak Jhuthawat & Co., Practi",unspecified_see_drhp,http://www.aftertrade.in; https://www.anandseamless.com/; www.in.mpms.mufg.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,JKV SOLUTIONS LIMITED,website_host
Anmol India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Anmol India Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
ANUBHAV PLAST LIMITED,"01, 1987, vide certificate of incorporation bearing",unspecified_see_drhp,www.anubhavpole.com; www.bigshareonline.com; www.capitalsquare.in,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,duplicate_dedupe|basis:website_host,M.R.MANIVENI FOODS LIMITED,website_host
Anuroop Packaging Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Apollo Techno Industries Limited,"the Bid Opening Date and the Bid/ Issue Closing Date and the floor price or price band along with necessary details subject to regulation 250 of SEBI ICRD Regulations. This advertisement, subject to the provisions of section 30 of the Companies Act, 2013, shall be in the format p...",unspecified_see_drhp,https://in.mpms.mufg.com/; www.apollotechno.com; www.beelinemb.com,₹25–100 Cr (approx from lakhs),,70.0,70.0,step8,duplicate_dedupe|basis:website_host,SK International Export Limited,website_host
ARC DISTRIBUTORS (I) LIMITED,chapter titled “History and Corporate Structure” beginning on page 162 of this Draft Red Herring Prospectus.,unspecified_see_drhp,www.arc-distributors.com,Extract from restated financials in DRHP (pattern not matched).,,35.0,35.0,step8,trading_import_export_name_keyword,,
Archit Nuwood Industries Limited,"Company was converted into Public Limited Company and name of company was changed to “Archit Nuwood Industries Limited” vide fresh certificate of incorporation dated December 27, 2023 issued by the Registrar of Companies, Delhi. For further details, pleas e refer to chapter title...","21. In Chapter titled “Our Management” beginning on Page 163 of the Draft Red Herring Prospectus, table of ‘ Family Rela",www.architnuwood.com; www.maashitla.com; www.shareindia.com,Extract from restated financials in DRHP (pattern not matched).,,40.0,40.0,step8,duplicate_dedupe|basis:website_host,VVIP Infratech Limited,website_host
ARROWHEAD SEPERATION ENGINEERING LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Artemis Electricals Limited,"Maharashtra dated August 27, 2015 and name of our Company was changed to “Artemis Electricals Limited”",unspecified_see_drhp,www.artemiselectricals.com; www.cameoindia.com; www.fedsec.in,Extract from restated financials in DRHP (pattern not matched).,U51505MH2009PLC196683,65.0,65.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
Artemis Electricals Limited,"of our Company, please refer to the chapter titled “General Information” and “History and Certain Other Corporate Matters” beginning on page 54 and 156 respectively of this Draft Red Herring Prospectus",unspecified_see_drhp,www.artemiselectricals.com; www.cameoindia.com; www.fedsec.in,Extract from restated financials in DRHP (pattern not matched).,,55.0,55.0,step8,duplicate_dedupe|basis:website_host,Shine Fashions (India) Limited,website_host
ASARFI HOSPITAL LIMITED,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Ashapuri Gold Ornament Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
ASSTON PHARMACEUTICALS LIMITED,"Bhavan, Plot No 42A Sector -11 CBD Bel apur, Navi Mumbai, Thane – 400 614, 3 | P a g e",unspecified_see_drhp,www.asstonpharmaceuticals.com; www.sobhagyacapital.com,Extract from restated financials in DRHP (pattern not matched).,,40.0,40.0,step8,duplicate_dedupe|basis:website_host,L. T. Elevator Limited,website_host
Astron Multigrain Limited,Download failed (timeout or HTTP error).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Atam Valves Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,15.0,15.0,step8,no_website_url,,
Aten Papers and Foam Limited,"Madhav Nagar, 11/12 S V Road, Andheri West, Mumbai City – 400058 (Maharashtra)",unspecified_see_drhp,www.atenpapers.com; www.skylinerta.com; www.swastika.co.in,Extract from restated financials in DRHP (pattern not matched).,,40.0,40.0,step8,duplicate_dedupe|basis:website_host,Efficient Fire and Security Solutions Limited,website_host
Avax Soft Technologies Limited,Little or no extractable text (likely scanned PDF — needs OCR).,unknown,,unknown,,30.0,30.0,step8,no_website_url,,
Avtar Career Creators Limited,"relation to use of the pr emises could have a material adverse effect on our business and results of operations Our Registered Office, located at No",unspecified_see_drhp,https://in.mpms.mufg.com/; www.avtarcc.com; www.mefcomcap.in,Extract from restated financials in DRHP (pattern not matched).,,50.0,50.0,step8,duplicate_dedupe|basis:website_host,Phytochem Remedies (India) Limited,website_host
