Company Name,City,Industry Segment,Website,Revenue Band,CIN,Promoter/Decision-Maker,Tailwinds,Differentiation Evidence,Source,Evidence Tags Normalized,ICP_Criteria_Met_Count,ICP_Coverage_Score,ICP_Weighted_Score,ICP_Blended_Weighted_Score,Blended_C1,Blended_C2,Blended_C3,Blended_C4,Blended_C5,Blended_C6,Step9_QA_Tags,Step9_QA_Flag_Count,Step9_Outreach_Note
MTE STRUCTURES LIMITED,Centre. For further details please refer to chapter titled “History and Certain Corporate Matters” beginning on Page No. 145 of the Draft Red Herring Prospectus.,Manufacturing / Industrial,https://in.mpms.mufg.com/; https://mtegroup.in/; www.gyrcapitaladvisors.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mrs. Jinal Bhavik Shah; Mrs. Jinal Bhavik Shah Company Secretary; Mr. Mohit Baid SEBI Registration Number; Mr. Shanti Gopalkrishnan SEBI Registration Number,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|iso_certification_mentioned,5,83,90.0,90.0,5.0,0.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
BioLife Sciences Ltd,Hyderabad,Manufacturing / Industrial,biolifesciences.com,₹100–180 Cr,,,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,dsir_directory_match,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,dsir_directory_match|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_mar_2026,5,83,85.0,85.0,5.0,5.0,5.0,0.0,5.0,5.0,,0,QA clean
Goldline Pharmaceutical Limited,"WORKING DAYS PRIOR TO THE BID/ISSUE OPENING DATE AND SHALL BE MADE AVAILABLE TO THE BSE LIMITED (“BSE”) FOR THE PURPOSES OF UPLOADING O N THEIR WEBSITE IN ACCORDANCE WITH SECURITIES AND EXCHANGE BOARD OF INDIA (ISSUE OF CAPITAL AND DISCLOSURE REQUIREMENTS) REGULA TIONS, 2018, AS ...",Pharma / Biotech,www.bigshareonline.com; www.cumulativecapital.group; www.goldlinepharma.in,Extract from restated financials in DRHP (pattern not matched).,,Could not download DRHP PDF/ZIP for promoter extraction.,bse_sme_ipo_drhp_pipeline|pharma_formulations_tailwind,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|pharma_formulations_tailwind|iso_certification_mentioned,5,83,85.0,85.0,5.0,5.0,5.0,0.0,5.0,5.0,stale_temporal_signal|iso_only_differentiation_no_sector_moat,2,QA flagged
MediEquip India Ltd,Delhi NCR,Manufacturing / Industrial,mediequipindia.com,₹70–120 Cr,,,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,dsir_directory_match,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,dsir_directory_match|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_dec_2025,5,83,85.0,85.0,5.0,5.0,5.0,0.0,5.0,5.0,,0,QA clean
ANKIT GOLD LIMITED,"Ni Khadki, Madan Gopal Ni Haveli Road, Ahmedabad - 380001, Gujarat, India “we”, “us” or “our” Unless the context otherwise indicates or implies, refers to our Company “you”, “your” or “yours” Prospective Investor in this Issue",unspecified_see_drhp,https://www.ankitgoldltd.com; https://www.cfml.in; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mr. Hinil Patel,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Bedi Steels Limited,"G.T. Road, Doraha, Ludhiana - 141421, Punjab, India. NA Mr. Dishant Khanna Company Secretary and Compliance Officer Email: cs@bedisteelsltd.com Tel.: +91-9115700625 www.bedisteelsltd.com",unspecified_see_drhp,www.bedisteelsltd.com; www.bigshareonline.com; www.khambattasecurities.com,₹2 Cr (stated),,DRHP: Mr. Dishant Khanna Company Secretary; Mr. Chandan Mishra Email; Mr. Vinayak Morbale Email; Mr. Abhishek Sehgal. Company Secretary; Mr. Dishant Khanna. Corporate Identification Number; Mr. Prayank Gupta. MOA; Mr. Prayank Gupta; Mr. Mahesh Gupta; Mrs. Khushboo Gupta; Mrs. Sarita Gupta,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind,iso_certification_mention|rnd_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|rnd_mention|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|capex|capital_expenditure|iso_certification_mentioned|forward_integration,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,,0,QA clean
EKI Energy Services Limited,"LEAST 2(TWO) WORKING DAYS PRIOR TO THE BID/ ISSUE O PENING DATE AND SHALL BE MADE AVAILABLE TO BSE LIMI TED (“BSE”, REFERRED TO AS THE “STOCK EXCHANGE”) FOR THE PURPOSE OF UPLOADING ON THEIR WEBSITE IN ACCORDANCE WITH SECURITIES AND EXCHANGE BOARD OF INDIA (ISSUE OF CAPITALAND DI...",unspecified_see_drhp,www.bigshareonline.com; www.enkingint.org; www.hemsecurities.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Ms. Itisha Sahu; Mr. Manish Kumar Dabkara THE ISSUE INITIAL; Mr. Manish Kumar Dabkara For; Mr. Manish Kuma,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
Fusion Klassroom Edutech Limited,"Mumbai office at Matruprabha, Ground Floor, Plot No -78, CTS No-2731, Daulat Nagar Road 7, Borivali East, Mumbai – 400066 for 22 months, ending on May 02, 2027. The lease deed has been executed on an arm’s length basis and the terms and conditions of the lease, including the leas...",unspecified_see_drhp,www.klassroom.in; www.maashitla.com; www.narnolia.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Ms. Jinal Karen Vora PROMOTERS OF; Mr. Suniel Shetty; Ms. Jinal Karen Vora,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat|generic_web_or_thin_ops_narrative,2,QA flagged
GRE RENEW ENERTECH LIMITED,"Plot no. 423, G.I.D.C.-II, Dediyasan, Mehsana-384002, Gujarat B-1104/1105, Empire Business Hub, Near Shukan Mall, Science City Road, Sola, Ahmedabad-380060, Gujarat Mr. Rohan Jayeshbhai Dhruve, Secretary and Compliance Officer Email: cs@greindia.com Tel No.: +91 9974039300 https:...",unspecified_see_drhp,https://greindia.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Mr. Rohan Jayeshbhai Dhruve; Mr. Kunal Bansal Email; Mr. Mukul Agrawal Email Id; Mr Rohan Jayeshbhai Dhruve; Mr. Kamleshkumar Dahyalal Patel; Mr. Kirtikumar Kantilal Suthar; Mr. Mukeshkumar Prahladbhai Trivedi Promoters Group,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|capex|capital_expenditure|iso_certification_mentioned|subsidiary|group_structure,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat,1,QA flagged
GRUNE HAFEN LIMITED,"Karkardooma Community Centre, East Delhi, Delhi – 110092, India Corporate Office: Plot No",unspecified_see_drhp,www.grunehafen.com; www.maashitla.com; www.narnolia.com,Extract from restated financials in DRHP (pattern not matched).,,DRHP: Ms. Nishi Jain Company Secretary; Mr. Pankaj Pasi SEBI Registration Number; Ms. Nishi Jain; Ms. Nishi Jain. Depositories Act The Depositories; Mr. Gaurav Gupta,bse_sme_ipo_drhp_pipeline,iso_certification_mention,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,5,83,80.0,80.0,0.0,5.0,5.0,5.0,5.0,5.0,iso_only_differentiation_no_sector_moat|generic_web_or_thin_ops_narrative,2,QA flagged
