Company Name,City,Industry Segment,Website,Revenue Band,Differentiation Evidence,Promoter/Decision-Maker,Growth Signals,Tailwinds,Source,CIN,Industry Segment (raw),Evidence Tags Normalized,C1_Manufacturer,C1_Notes,C2_India_Based,C2_Notes,C3_Differentiation,C3_Notes,C4_Technical_DM,C4_Notes,C5_Tailwinds,C5_Notes,C6_Growth_Signals,C6_Notes,ICP_Criteria_Met_Count,ICP_Coverage_Score,ICP_Weighted_Score,_dedupe_group_size
MTE STRUCTURES LIMITED,Centre. For further details please refer to chapter titled “History and Certain Corporate Matters” beginning on Page No. 145 of the Draft Red Herring Prospectus.,Manufacturing / Industrial,https://in.mpms.mufg.com/; https://mtegroup.in/; www.gyrcapitaladvisors.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Mrs. Jinal Bhavik Shah; Mrs. Jinal Bhavik Shah Company Secretary; Mr. Mohit Baid SEBI Registration Number; Mr. Shanti Gopalkrishnan SEBI Registration Number,ISO certification mentioned,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,the manufacturing of specialized solar panel mounting structures and provides solar mounting solutions,iso_certification_mention|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|iso_certification_mentioned,1,manufacturer_or_industrial_segment,0,weak_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,90.0,2
BioLife Sciences Ltd,Hyderabad,Manufacturing / Industrial,biolifesciences.com,₹100–180 Cr,dsir_directory_match,,IPO filed Mar 2026,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Biotech/Pharma),dsir_directory_match|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_mar_2026,1,manufacturer_or_industrial_segment,1,india_location_signal,1,dsir_directory_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,85.0,5
Goldline Pharmaceutical Limited,"WORKING DAYS PRIOR TO THE BID/ISSUE OPENING DATE AND SHALL BE MADE AVAILABLE TO THE BSE LIMITED (“BSE”) FOR THE PURPOSES OF UPLOADING O N THEIR WEBSITE IN ACCORDANCE WITH SECURITIES AND EXCHANGE BOARD OF INDIA (ISSUE OF CAPITAL AND DISCLOSURE REQUIREMENTS) REGULA TIONS, 2018, AS ...",Pharma / Biotech,www.bigshareonline.com; www.cumulativecapital.group; www.goldlinepharma.in,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,Could not download DRHP PDF/ZIP for promoter extraction.,ISO certification mentioned,bse_sme_ipo_drhp_pipeline|pharma_formulations_tailwind,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,the business of marketing pharmaceutical products under the brand name “Goldline”,iso_certification_mention|bse_sme_ipo_drhp_pipeline|pharma_formulations_tailwind|iso_certification_mentioned,1,manufacturer_or_industrial_segment,1,india_location_signal,1,cert_or_patent_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,85.0,2
MediEquip India Ltd,Delhi NCR,Manufacturing / Industrial,mediequipindia.com,₹70–120 Cr,dsir_directory_match,,IPO filed Dec 2025,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Medical Equipment),dsir_directory_match|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_dec_2025,1,manufacturer_or_industrial_segment,1,india_location_signal,1,dsir_directory_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,85.0,11
ANKIT GOLD LIMITED,"Ni Khadki, Madan Gopal Ni Haveli Road, Ahmedabad - 380001, Gujarat, India “we”, “us” or “our” Unless the context otherwise indicates or implies, refers to our Company “you”, “your” or “yours” Prospective Investor in this Issue",unspecified_see_drhp,https://www.ankitgoldltd.com; https://www.cfml.in; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Mr. Hinil Patel,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Bedi Steels Limited,"G.T. Road, Doraha, Ludhiana - 141421, Punjab, India. NA Mr. Dishant Khanna Company Secretary and Compliance Officer Email: cs@bedisteelsltd.com Tel.: +91-9115700625 www.bedisteelsltd.com",unspecified_see_drhp,www.bedisteelsltd.com; www.bigshareonline.com; www.khambattasecurities.com,₹2 Cr (stated),iso_certification_mention|rnd_mention,DRHP: Mr. Dishant Khanna Company Secretary; Mr. Chandan Mishra Email; Mr. Vinayak Morbale Email; Mr. Abhishek Sehgal. Company Secretary; Mr. Dishant Khanna. Corporate Identification Number; Mr. Prayank Gupta. MOA; Mr. Prayank Gupta; Mr. Mahesh Gupta; Mrs. Khushboo Gupta; Mrs. Sarita Gupta,capex / capital expenditure; ISO certification mentioned; forward integration,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|rnd_mention|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|capex|capital_expenditure|iso_certification_mentioned|forward_integration,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
EKI Energy Services Limited,"LEAST 2(TWO) WORKING DAYS PRIOR TO THE BID/ ISSUE O PENING DATE AND SHALL BE MADE AVAILABLE TO BSE LIMI TED (“BSE”, REFERRED TO AS THE “STOCK EXCHANGE”) FOR THE PURPOSE OF UPLOADING ON THEIR WEBSITE IN ACCORDANCE WITH SECURITIES AND EXCHANGE BOARD OF INDIA (ISSUE OF CAPITALAND DI...",unspecified_see_drhp,www.bigshareonline.com; www.enkingint.org; www.hemsecurities.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Ms. Itisha Sahu; Mr. Manish Kumar Dabkara THE ISSUE INITIAL; Mr. Manish Kumar Dabkara For; Mr. Manish Kuma,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
Fusion Klassroom Edutech Limited,"Mumbai office at Matruprabha, Ground Floor, Plot No -78, CTS No-2731, Daulat Nagar Road 7, Borivali East, Mumbai – 400066 for 22 months, ending on May 02, 2027. The lease deed has been executed on an arm’s length basis and the terms and conditions of the lease, including the leas...",unspecified_see_drhp,www.klassroom.in; www.maashitla.com; www.narnolia.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Ms. Jinal Karen Vora PROMOTERS OF; Mr. Suniel Shetty; Ms. Jinal Karen Vora,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,3
GRE RENEW ENERTECH LIMITED,"Plot no. 423, G.I.D.C.-II, Dediyasan, Mehsana-384002, Gujarat B-1104/1105, Empire Business Hub, Near Shukan Mall, Science City Road, Sola, Ahmedabad-380060, Gujarat Mr. Rohan Jayeshbhai Dhruve, Secretary and Compliance Officer Email: cs@greindia.com Tel No.: +91 9974039300 https:...",unspecified_see_drhp,https://greindia.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Mr. Rohan Jayeshbhai Dhruve; Mr. Kunal Bansal Email; Mr. Mukul Agrawal Email Id; Mr Rohan Jayeshbhai Dhruve; Mr. Kamleshkumar Dahyalal Patel; Mr. Kirtikumar Kantilal Suthar; Mr. Mukeshkumar Prahladbhai Trivedi Promoters Group,capex / capital expenditure; ISO certification mentioned; subsidiary / group structure,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|capex|capital_expenditure|iso_certification_mentioned|subsidiary|group_structure,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,3
GRUNE HAFEN LIMITED,"Karkardooma Community Centre, East Delhi, Delhi – 110092, India Corporate Office: Plot No",unspecified_see_drhp,www.grunehafen.com; www.maashitla.com; www.narnolia.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Ms. Nishi Jain Company Secretary; Mr. Pankaj Pasi SEBI Registration Number; Ms. Nishi Jain; Ms. Nishi Jain. Depositories Act The Depositories; Mr. Gaurav Gupta,ISO certification mentioned; subsidiary / group structure,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned|subsidiary|group_structure,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,5,83,80.0,2
