Company Name,City,Industry Segment,Website,Revenue Band,Differentiation Evidence,Promoter/Decision-Maker,Growth Signals,Tailwinds,Source,CIN,Industry Segment (raw),Evidence Tags Normalized,C1_Manufacturer,C1_Notes,C2_India_Based,C2_Notes,C3_Differentiation,C3_Notes,C4_Technical_DM,C4_Notes,C5_Tailwinds,C5_Notes,C6_Growth_Signals,C6_Notes,ICP_Criteria_Met_Count,ICP_Coverage_Score,ICP_Weighted_Score,_dedupe_group_size,LLM_C1,LLM_C2,LLM_C3,LLM_C4,LLM_C5,LLM_C6,LLM_Note,Blended_C1,Blended_C2,Blended_C3,Blended_C4,Blended_C5,Blended_C6,ICP_Blended_Weighted_Score,LLM_Blend_Alpha,LLM_Model,Step9_QA_Tags,Step9_QA_Flag_Count
3B FILMS LIMITED,"CORPORATE OFFICE CONTACT PERSON TELEPHONE AND EMAIL WEBSITE Registered Office: SF 220, Pancham Icon, Besides D-Mart, Vasna Road, Vadodara, Gujarat, India, 390007 Corporate Office: Block No 1241, 1242, 1243, 1244, Padra Jambusar Highway, Masar, Padra, Vadodara, Gujarat, India, 391...",unspecified_see_drhp,www.3bfilms.com; www.maashitla.com; www.nirbhaycapital.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,Mr. Ashokbhai Dhanjibhai Babariya,subsidiary / group structure,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|subsidiary|group_structure,0,not_classified_manufacturer,1,india_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,0,weak_growth_signal,3,50,40.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,5.0,0.0,5.0,5.0,0.0,40.0,0.0,rules_only,weak_differentiation_drhp_generics,1
3C IT Solutions and Telecoms (India) Limited,Office Contact Person Email and Telephone Website,unspecified_see_drhp,http://3citsolutions.com/; https://www.kreocapital.com/; https://www.skylinerta.com/,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,DRHP: Ms. Laxmi Tiwari Company Secretary; Ms. Laxmi Tiwari; Ms. Laxmi Tiwari Corporate Identification Number; Mr. Ranjit Kulladhaja Mayengbam MOA; Dr. Ambedkar Chowk; Mr. Ranjit Kulladhaja Mayengbam; Mrs. Gangarani Devi Mayengbam. Promoter Group Such,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,0,weak_location_signal,1,cert_or_patent_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,70.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,5.0,5.0,5.0,5.0,70.0,0.0,rules_only,iso_only_differentiation_no_sector_moat,1
AA Plus Tradelink Limited,"Near Jain Temple, Jambli Gali, Borivali (West), Mumbai - 400092, Maharashtra, India",unspecified_see_drhp,www.aaplustradelink.com; www.inventuremerchantbanker.com; www.purvashare.com,Extract from restated financials in DRHP (pattern not matched).,iso_certification_mention,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,ISO certification mentioned,bse_sme_ipo_drhp_pipeline,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,iso_certification_mention|bse_sme_ipo_drhp_pipeline|iso_certification_mentioned,0,not_classified_manufacturer,1,india_location_signal,1,cert_or_patent_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,5.0,5.0,0.0,5.0,5.0,65.0,0.0,rules_only,iso_only_differentiation_no_sector_moat,1
Aarav Defence Systems Ltd,Pune,Manufacturing / Industrial,aaravdefence.com,₹120–200 Cr,no_structured_differentiation_tag,,IPO filed Feb 2026,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (Defence/Aerospace),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_feb_2026,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
Abril Paper Tech Limited,and enter into fresh lease or leave and license agreement,unspecified_see_drhp,www.abrilpapertech.com; www.ifinservices.in; www.kfintech.com,₹25 Cr (stated),no_structured_differentiation_tag,Promoter names not machine-extracted from sampled DRHP pages; verify in IPO prospectus or LinkedIn.,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,2,33,35.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,0.0,5.0,5.0,35.0,0.0,rules_only,weak_differentiation_drhp_generics,1
Access Point India Limited,"Registrar of Companies/ Registrar of Companies, Central Processing Centre vide bearing",unspecified_see_drhp,https://www.myaccessp.net; www.finaaxcapital.com; www.in.mpms.mufg.com,₹5–25 Cr (approx from lakhs),no_structured_differentiation_tag,DRHP: Ms. Reena Sharma NOTICE TO INVESTORS; Mr. Bherusingh Rajput Managing Director DIN; Mr. Ikshit Shah; Mr. Yash Doshi CIN; Mr. Pravinbhai Chandubhai Chandulal Patel; Mr. Pankajkumar Chandubhai,hiring / recruitment,bse_sme_ipo_drhp_pipeline|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|workforce_scaling_signal|hiring|recruitment,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,3,50,50.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,5.0,50.0,0.0,rules_only,weak_differentiation_drhp_generics,1
ACCORD TRANSFORMER & SWITCHGEAR LIMITED,"December 04, 2024",unspecified_see_drhp,https://atsgroup.in/; www.gyrcapitaladvisors.com; www.kfintech.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,DRHP: Ms. Tulsi Sharma; Ms. Tulsi Sharma Company Secretary; Mr. Mohit Baid; Ms. Maitri Thakkar SEBI Registration Number; Mr. Pradeep Kumar Verma; Mrs. Shalini Singh; Mr. Pradeep Kumar Verma Chief Financial Officer; Mr. Ranjan Kumar Samal. Company Secretary; Ms. Tulsi Sharma. Depositories Act The Depositories,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,U31500HR2014PLC052544,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,3,50,50.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,5.0,50.0,0.0,rules_only,weak_differentiation_drhp_generics,1
Accretion Nutraveda Limited,2013: 1. Form DPT-3,unspecified_see_drhp,www.accretionnutraveda.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,Mr. Harshad Nanubhai Rathod,No explicit expansion/hiring/certification keywords in sampled pages — check MD&A / risk factors in full DRHP.,bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|capacity_expansion_tailwind|workforce_scaling_signal|no_explicit_expansion|hiring|certification_keywords_in_sampled_pages_—_check_md&a|risk_factors_in_full_drhp,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,1,named_individuals_in_promoter_field,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,3,50,50.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,5.0,5.0,5.0,50.0,0.0,rules_only,stale_temporal_signal|weak_differentiation_drhp_generics,2
Ace Alpha Tech Limited,"new certificate of incorporation pursuant to change of name dated 17th May, 2024.",unspecified_see_drhp,www.acealphatech.in; www.narnolia.com; www.skylinerta.com,Extract from restated financials in DRHP (pattern not matched).,no_structured_differentiation_tag,Could not download DRHP PDF/ZIP for promoter extraction.,hiring / recruitment; subsidiary / group structure,bse_sme_ipo_drhp_pipeline|workforce_scaling_signal,drhp_companies_specified_format.csv+final_merged_dsir_promoters.csv,,See DRHP ‘Industry / Business overview’ section.,no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|workforce_scaling_signal|hiring|recruitment|subsidiary|group_structure,0,not_classified_manufacturer,0,weak_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,2,33,35.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,0.0,0.0,0.0,0.0,5.0,5.0,35.0,0.0,rules_only,weak_differentiation_drhp_generics|generic_web_or_thin_ops_narrative,2
Acetech E-Commerce Ltd,Mumbai,Manufacturing / Industrial,acetechecommerce.com,₹70–120 Cr,no_structured_differentiation_tag,,IPO filed Feb 2026,bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity,data_with_dsir_recognition.csv+final_merged_dsir_promoters.csv,,Specialty Manufacturing (IT/E-Commerce Tech),no_structured_differentiation_tag|bse_sme_ipo_drhp_pipeline|make_in_india_manufacturing|capital_markets_ipo_activity|ipo_filed_feb_2026,1,manufacturer_or_industrial_segment,1,india_location_signal,0,no_differentiation_evidence,0,no_promoter_extract,1,sector_or_macro_tailwind_tags,1,growth_or_ipo_signal_in_text,4,67,65.0,2,0,0,0,0,0,0,rules_only_no_llm_balance,5.0,5.0,0.0,0.0,5.0,5.0,65.0,0.0,rules_only,calibration_review_queue_step10,1
